,item_id,state_id,price,sale_perday,sale_change,price_change,elasticity,target_days,discount%,cost_price,stock on hand,discount_price,predict_total_sale
1,HOBBIES_1_001,CA,8.260000228881836,1.4987878787878788,0.4987878787878788,-0.1377870256092416,3.6199916253539057,7,0,4.130000114440918,100,8.260000228881836,8.893150195705262
1,HOBBIES_1_001,CA,8.260000228881836,1.4987878787878788,0.4987878787878788,-0.1377870256092416,3.6199916253539057,7,10,4.130000114440918,100,7.4340002059936525,8.893150195705262
1,HOBBIES_1_001,CA,8.260000228881836,1.4987878787878788,0.4987878787878788,-0.1377870256092416,3.6199916253539057,7,30,4.130000114440918,100,5.782000160217285,8.893150195705262
1,HOBBIES_1_001,CA,8.260000228881836,1.4987878787878788,0.4987878787878788,-0.1377870256092416,3.6199916253539057,7,50,4.130000114440918,100,4.130000114440918,8.893150195705262
2,HOBBIES_1_001,CA,8.380000114440918,1.7216494845360826,0.1486945610531889,0.01452783077892561,0.0,7,0,4.130000114440918,100,8.380000114440918,9.180910059878904
2,HOBBIES_1_001,CA,8.380000114440918,1.7216494845360826,0.1486945610531889,0.01452783077892561,0.0,7,10,4.130000114440918,100,7.542000102996826,9.180910059878904
2,HOBBIES_1_001,CA,8.380000114440918,1.7216494845360826,0.1486945610531889,0.01452783077892561,0.0,7,30,4.130000114440918,100,5.866000080108642,9.180910059878904
2,HOBBIES_1_001,CA,8.380000114440918,1.7216494845360826,0.1486945610531889,0.01452783077892561,0.0,7,50,4.130000114440918,100,4.190000057220459,9.180910059878904
4,HOBBIES_1_001,TX,8.260000228881836,1.2784313725490195,-0.269467787114846,-0.1377870256092416,0.0,7,0,2.5,100,8.260000228881836,17.303592592592594
4,HOBBIES_1_001,TX,8.260000228881836,1.2784313725490195,-0.269467787114846,-0.1377870256092416,0.0,7,10,2.5,100,7.4340002059936525,17.303592592592594
4,HOBBIES_1_001,TX,8.260000228881836,1.2784313725490195,-0.269467787114846,-0.1377870256092416,0.0,7,30,2.5,100,5.782000160217285,17.303592592592594
4,HOBBIES_1_001,TX,8.260000228881836,1.2784313725490195,-0.269467787114846,-0.1377870256092416,0.0,7,50,2.5,100,4.130000114440918,17.303592592592594
5,HOBBIES_1_001,TX,5.0,2.0,0.5644171779141105,-0.3946731402600875,1.4300876354092975,7,0,2.5,100,5.0,9.549159215006592
5,HOBBIES_1_001,TX,5.0,2.0,0.5644171779141105,-0.3946731402600875,1.4300876354092975,7,10,2.5,100,4.5,9.549159215006592
5,HOBBIES_1_001,TX,5.0,2.0,0.5644171779141105,-0.3946731402600875,1.4300876354092975,7,30,2.5,100,3.5,9.549159215006592
5,HOBBIES_1_001,TX,5.0,2.0,0.5644171779141105,-0.3946731402600875,1.4300876354092975,7,50,2.5,100,2.5,9.549159215006592
6,HOBBIES_1_001,TX,8.619999885559082,1.1,-0.44999999999999996,0.7239999771118164,0.6215469809752505,7,0,2.5,100,8.619999885559082,11.36841436192181
6,HOBBIES_1_001,TX,8.619999885559082,1.1,-0.44999999999999996,0.7239999771118164,0.6215469809752505,7,10,2.5,100,7.757999897003174,11.36841436192181
6,HOBBIES_1_001,TX,8.619999885559082,1.1,-0.44999999999999996,0.7239999771118164,0.6215469809752505,7,30,2.5,100,6.033999919891357,11.36841436192181
