,item_id,state_id,price,sale_perday,sale_change,price_change,elasticity,target_days,discount%,cost_price,stock on hand,discount_price,predict_total_sale,cost,revenue,profit
0,FOODS_2_001,CA,1.9700000286102295,1.8703703703703705,0.24691358024691357,-0.172268935342888,1.4333029907885084,7,0,0.9850000143051147,100,1.9700000286102295,13.198798271450546,13.0,26.0,13.0
1,FOODS_2_001,CA,2.0,1.810740013097577,-0.031881577155750906,0.01522841165181843,2.0935589268723187,7,0,0.9850000143051147,100,2.0,8.963990716956895,8.83,17.93,9.1
2,FOODS_2_001,CA,2.2799999713897705,1.2,-0.3372875226039783,0.13999998569488525,2.409196836198682,7,0,0.9850000143051147,100,2.2799999713897705,14.245405418307563,14.03,32.48,18.449999999999996
3,FOODS_2_001,TX,0.9900000095367432,2.0,0.15400624349635805,-0.5049999952316284,0.3049628612881867,7,0,0.4950000047683716,100,0.9900000095367432,10.02345513436628,4.96,9.92,4.96
4,FOODS_2_001,TX,1.7599999904632568,1.7941176470588236,-0.23109243697478998,0.060240979429287744,3.836133462040597,7,0,0.4950000047683716,100,1.7599999904632568,9.804310325474658,4.85,17.26,12.410000000000002
5,FOODS_2_001,TX,1.7799999713897705,2.0062111801242235,0.0031055900621117516,0.7979797517605045,0.0,7,0,0.4950000047683716,100,1.7799999713897705,46.518261426643114,23.03,82.8,59.769999999999996
6,FOODS_2_001,TX,1.8200000524520874,2.259259259259259,0.1261323242747392,0.022471956014182393,0.0,7,0,0.4950000047683716,100,1.8200000524520874,16.44494497227448,8.14,29.93,21.79
7,FOODS_2_001,TX,2.0,1.733092876465284,-0.03401380656033359,0.13636364252114097,0.2494345701792199,7,0,0.4950000047683716,100,2.0,60.165,29.78,120.33,90.55
8,FOODS_2_001,WI,2.0,3.166351606805293,0.39934083143041543,0.01522841165181843,0.0,7,0,1.0,100,2.0,14.262139225985784,14.26,28.52,14.26
9,FOODS_2_001,WI,2.2200000286102295,1.8,-0.43152238805970144,0.11000001430511475,3.9229302903793957,7,0,1.0,100,2.2200000286102295,18.59449884281679,18.59,41.28,22.69
10,FOODS_2_002,CA,1.8300000429153442,1.0,-0.5428051001821493,-0.08499997854232788,0.0,7,0,0.9150000214576721,100,1.8300000429153442,12.969377920572551,11.87,23.73,11.860000000000001
11,FOODS_2_002,CA,1.9800000190734863,3.184757505773672,-0.08847151283387433,0.053191502178454586,1.66326404050514,7,0,0.9150000214576721,100,1.9800000190734863,18.298349541736727,16.74,36.23,19.49
12,FOODS_2_002,CA,2.0,2.187250996015936,-0.04051129649113183,-0.1228070065365382,0.0,7,0,0.9150000214576721,100,2.0,25.614720989719107,23.44,51.23,27.789999999999996
13,FOODS_2_002,CA,2.2799999713897705,2.2796005706134093,-0.28421533932153287,0.1515151259729104,1.8758215557458477,7,0,0.9150000214576721,100,2.2799999713897705,48.193985297497946,44.1,109.88,65.78
